	id	title	genre	runtime	release_dt	budget	us_boxoffice_gross	mpaa_rating	user_rating	total_votes	critic_score	new_release_month
1278	13677	Urgency	Action	90.0	2015-01-23	200000	201	Not Rated	2.4	201	0	Jan
3715	26028	Redline	Action	95.0	2007-04-13	26000000	6880000	PG	4.0	8151	24	Apr
253	439	Absolute Deception	Action	92.0	2013-07-17	5000000	1378	R	4.3	1378	0	Jul
3467	24869	Immortal	Action	110.0	2006-05-26	3000	241	Not Rated	6.2	241	0	May
3419	24734	Deaden	Action	90.0	2008-04-15	1000000	173	Not Rated	4.3	173	0	Apr
3395	24681	Crooked	Action	93.0	2006-08-03	2500000	381	R	4.2	381	0	Aug
745	10575	Interception	Action	107.0	2009-01-13	12000	221	Not Rated	2.7	221	0	Jan
2555	21624	The Defender	Action	90.0	2005-10-18	6000000	1389	R	5.1	1389	0	Oct
2097	19509	The Lackey	Action	94.0	2012-08-17	300000	104	Not Rated	5.2	104	0	Aug
2953	23069	The Vault	Action	87.0	2005-02-22	250000	217	PG	2.0	217	0	Feb
2606	21840	Once Upon a Time in the Hood	Action	94.0	2005-10-28	200000	105	Not Rated	5.0	105	0	Oct
2864	22855	Pit Fighter	Action	83.0	2008-05-23	600000	994	R	4.6	994	0	May
1514	15652	Freerunner	Action	87.0	2012-07-13	5000000	4837	R	3.8	4837	0	Jul
1565	15818	Cherry Bomb	Action	82.0	2011-06-11	100000	593	Not Rated	3.4	593	0	Jun
267	494	Extraction	Action	106.0	2013-09-05	1100000	934	Not Rated	4.8	934	0	Sep
1621	16029	Klyuch salamandry	Action	110.0	2011-03-24	10000000	283	PG	4.7	283	0	Mar
1646	16152	Bomb Squad	Action	83.0	2011-02-25	12000	142	Not Rated	3.6	142	0	Feb
4377	28495	Border Lost	Action	105.0	2008-03-01	500000	250	R	4.7	250	0	Mar
1792	18257	The Man with the Iron Fists	Action	95.0	2012-11-02	15000000	15630000	R	5.4	55979	51	Nov
4336	28231	Crazy Girls Undercover	Action	95.0	2008-12-01	1800000	286	R	2.7	286	0	Dec
4283	28063	Attack of the Yakuza	Action	93.0	2008-09-01	1000000	169	Not Rated	5.2	169	0	Sep
1580	15859	The Wereth Eleven	Action	70.0	2011-02-16	1000000	126	Not Rated	6.2	126	0	Feb
2313	20560	Air Marshal	Action	90.0	2003-09-09	500000	472	R	2.7	472	0	Sep
1093	13041	Abelar: Tales of an Ancient Empire	Action, Adventure	86.0	2010-07-31	1000000	1389	R	3.2	1389	0	Jul
3355	24586	Pirates of Treasure Island	Action, Adventure	85.0	2006-06-27	1500000	910	PG	2.2	910	0	Jun
788	10675	Ballistica	Action, Adventure	90.0	2011-05-17	1400000	351	Not Rated	3.6	351	0	May
3111	24181	DOA: Dead or Alive	Action, Adventure	87.0	2007-06-15	21000000	480000	PG	4.8	40073	38	Jun
3247	24390	The Champagne Gang	Action, Adventure	91.0	2006-10-03	200000	383	Not Rated	3.8	383	0	Oct
2575	21693	Latin Dragon	Action, Adventure	101.0	2004-09-07	1500000	294	R	4.3	294	0	Sep
1715	18174	The Amazing Spider-Man	Action, Adventure	136.0	2012-07-03	230000000	262029999	PG	7.0	487416	66	Jul
2379	21365	Spider-Man 2	Action, Adventure	127.0	2004-06-30	200000000	373590000	PG	7.3	454356	83	Jun
3521	25763	Spider-Man 3	Action, Adventure	139.0	2007-05-04	258000000	336530000	PG	6.2	419373	59	May
2435	21422	Hidalgo	Action, Adventure, Biography	136.0	2004-03-05	100000000	67290000	PG	6.7	70891	54	Mar
2388	21374	Alexander	Action, Adventure, Biography	175.0	2004-11-24	155000000	34300000	R	5.6	146746	39	Nov
1355	15416	Johnny English Reborn	Action, Adventure, Comedy	101.0	2011-10-21	45000000	8310000	PG	6.3	96246	46	Oct
1418	15491	Spy Kids: All the Time in the World in 4D	Action, Adventure, Comedy	89.0	2011-08-19	27000000	38540000	PG	3.6	17451	37	Aug
1756	18217	Journey 2: The Mysterious Island	Action, Adventure, Comedy	94.0	2012-02-10	79000000	103860000	PG	5.8	74222	41	Feb
2672	22588	Sahara	Action, Adventure, Comedy	124.0	2005-04-08	130000000	68670000	PG	6.0	81843	41	Apr
2215	20319	Shanghai Knights	Action, Adventure, Comedy	114.0	2003-02-07	50000000	60480000	PG	6.2	87835	58	Feb
2673	22589	Zathura: A Space Adventure	Action, Adventure, Comedy	101.0	2005-11-11	65000000	29260000	PG	6.1	74825	67	Nov
2490	21490	Agent Cody Banks 2: Destination London	Action, Adventure, Comedy	100.0	2004-03-12	26000000	23220000	PG	4.5	12101	32	Mar
1917	18503	Big Bad Bugs	Action, Adventure, Comedy	95.0	2012-12-29	1000000	227	Not Rated	2.2	227	0	Dec
2459	21449	Thunderbirds	Action, Adventure, Comedy	95.0	2004-07-30	57000000	6770000	PG	4.2	11779	36	Jul
99	103	R.I.P.D.	Action, Adventure, Comedy	96.0	2013-07-19	130000000	33620000	PG	5.6	99595	25	Jul
1200	13308	Adventure Scouts	Action, Adventure, Comedy	83.0	2010-10-02	500000	1557	Not Rated	7.5	1557	0	Oct
1129	13121	Last Kung Fu Monk	Action, Adventure, Comedy	93.0	2010-10-01	1500000	387	R	4.2	387	0	Oct
1703	18162	Men in Black 3	Action, Adventure, Comedy	106.0	2012-05-25	225000000	179020000	PG	6.8	284355	58	May
3125	24200	Zoom	Action, Adventure, Comedy	83.0	2006-08-11	35000000	11630000	PG	4.3	16188	26	Aug
2520	21544	George and the Dragon	Action, Adventure, Comedy	93.0	2004-02-20	32000000	3222	PG	5.7	3222	0	Feb
3464	24843	Turn Left	Action, Adventure, Comedy	75.0	2006-06-06	30000	128	Not Rated	2.1	128	0	Jun
2660	22574	The Dukes of Hazzard	Action, Adventure, Comedy	104.0	2005-08-05	50000000	80270000	PG	5.1	69240	33	Aug
927	12794	The A-Team	Action, Adventure, Comedy	117.0	2010-06-11	110000000	77220000	PG	6.8	223514	47	Jun
2197	20197	Agent Cody Banks	Action, Adventure, Comedy	102.0	2003-03-14	26000000	47810000	PG	5.1	28821	41	Mar
2171	20170	Spy Kids 3: Game Over	Action, Adventure, Comedy	84.0	2003-07-25	38000000	111760000	PG	4.2	44439	57	Jul
2159	20158	The Rundown	Action, Adventure, Comedy	104.0	2003-09-26	85000000	47730000	PG	6.7	87640	59	Sep
2176	20175	Johnny English	Action, Adventure, Comedy	87.0	2003-07-18	35000000	28080000	PG	6.1	122013	51	Jul
793	10695	Minty: The Assassin	Action, Adventure, Comedy	80.0	2009-04-30	400000	125	Not Rated	3.9	125	0	Apr
2150	20149	Charlies Angels: Full Throttle	Action, Adventure, Comedy	106.0	2003-06-27	120000000	100830000	PG	4.8	106436	48	Jun
160	199	Welcome to the Jungle	Action, Adventure, Comedy	95.0	2014-02-08	3500000	10559	Not Rated	5.0	10559	25	Feb
4032	27602	Fools Gold	Action, Adventure, Comedy	112.0	2008-02-08	70000000	70230000	PG	5.7	64404	29	Feb
2201	20301	Kangaroo Jack	Action, Adventure, Comedy	89.0	2003-01-17	60000000	66930000	PG	4.4	25191	16	Jan
2334	20691	Skin Deep	Action, Adventure, Comedy	89.0	2003-06-19	400000	125	R	4.7	125	0	Jun
734	10543	Super Capers: The Origins of Ed and the Missing Bullion	Action, Adventure, Comedy	98.0	2009-03-20	2000000	30000	PG	3.1	954	0	Mar
3634	25890	Son of Rambow	Action, Adventure, Comedy	96.0	2008-05-23	4000000	1780000	PG	7.0	28410	66	May
2301	20515	Coronado	Action, Adventure, Comedy	88.0	2004-04-22	4700000	1417	PG	4.5	1417	0	Apr
3994	27563	Get Smart	Action, Adventure, Comedy	110.0	2008-06-20	80000000	130320000	PG	6.5	177589	54	Jun
379	861	Wet and Reckless	Action, Adventure, Comedy	87.0	2014-04-08	10000	124	Not Rated	6.8	124	0	Apr
2423	21409	Around the World in 80 Days	Action, Adventure, Comedy	120.0	2004-06-16	110000000	24010000	PG	5.8	73978	49	Jun
1333	15394	Sherlock Holmes: A Game of Shadows	Action, Adventure, Crime	129.0	2011-12-16	125000000	186850000	PG	7.5	367233	48	Dec
3089	24158	Snakes on a Plane	Action, Adventure, Crime	105.0	2006-08-18	33000000	34020000	R	5.6	120703	58	Aug
986	12856	The Losers	Action, Adventure, Crime	97.0	2010-04-23	25000000	23580000	PG	6.4	78835	44	Apr
460	10015	Sherlock Holmes	Action, Adventure, Crime	128.0	2009-12-25	90000000	209030000	PG	7.6	514553	57	Dec
2363	21349	The Punisher	Action, Adventure, Crime	124.0	2004-04-16	33000000	33680000	R	6.5	132843	33	Apr
2926	22989	Rivers End	Action, Adventure, Crime	90.0	2006-06-13	1000000	230	Not Rated	5.3	230	0	Jun
4251	27997	Rigged	Action, Adventure, Crime	100.0	2008-10-26	1000000	1547	R	5.7	1547	0	Oct
2684	22601	Into the Blue	Action, Adventure, Crime	110.0	2005-09-30	50000000	18470000	PG	5.8	66814	45	Sep
386	906	Betrayal	Action, Adventure, Crime	90.0	2015-04-03	2350000	122	Not Rated	4.2	122	0	Apr
4007	27577	Punisher: War Zone	Action, Adventure, Crime	103.0	2008-12-05	35000000	7950000	R	6.0	52820	30	Dec
2758	22683	xXx: State of the Union	Action, Adventure, Crime	101.0	2005-04-29	60000000	26870000	PG	4.4	59144	37	Apr
2115	20114	S.W.A.T.	Action, Adventure, Crime	117.0	2003-08-08	80000000	116930000	PG	6.0	125778	45	Aug
738	10557	Chicago Overcoat	Action, Adventure, Crime	94.0	2009-02-07	3000000	759	R	6.2	759	0	Feb
1428	15506	The Eagle	Action, Adventure, Drama	114.0	2011-02-11	25000000	19490000	PG	6.2	57528	55	Feb
97	101	All Is Lost	Action, Adventure, Drama	106.0	2013-11-07	9000000	6260000	PG	6.9	64739	87	Nov
3060	24128	The Guardian	Action, Adventure, Drama	139.0	2006-09-29	70000000	55010000	PG	6.9	79295	53	Sep
4019	27589	10,000 BC	Action, Adventure, Drama	109.0	2008-03-07	105000000	94780000	PG	5.1	114509	34	Mar
2642	22556	Kingdom of Heaven	Action, Adventure, Drama	144.0	2005-05-06	130000000	47400000	R	7.2	234117	63	May
2646	22560	King Kong	Action, Adventure, Drama	187.0	2005-12-14	207000000	218080000	PG	7.2	342493	81	Dec
1795	18261	Act of Valor	Action, Adventure, Drama	110.0	2012-02-24	12000000	70010000	R	6.5	60903	40	Feb
