	id	title	genre	runtime	release_dt	budget	us_boxoffice_gross	mpaa_rating	user_rating	total_votes	critic_score
0	1	Pacific Rim	Action, Adventure, Sci-Fi	131	12 July 2013	$190,000,000	$101.80M	PG-13	7.0	409200	64
1	2	Prisoners	Crime, Drama, Mystery	153	20 September 2013	$46,000,000	$61.00M	R	8.1	453418	74
2	3	The Wolf of Wall Street	Biography, Comedy, Crime	180	25 December 2013	$100,000,000	$116.90M	R	8.2	900255	75
3	4	The Conjuring	Horror, Mystery, Thriller	112	19 July 2013	$20,000,000	$137.40M	R	7.5	344852	68
4	5	Thor: The Dark World	Action, Adventure, Sci-Fi	112	8 November 2013	$170,000,000	$206.36M	PG-13	7.0	457935	54
5	6	Frozen	Animation, Adventure, Comedy	102	27 November 2013	$150,000,000	$400.74M	PG	7.5	465862	74
6	7	Curse of Chucky	Horror, Thriller	97	24 September 2013	$5,000,000	26,644	R	5.7	26644	0
7	8	Her	Drama, Romance, Sci-Fi	126	10 January 2014	$23,000,000	$25.57M	R	8.0	407239	90
8	9	Now You See Me	Crime, Mystery, Thriller	115	31 May 2013	$75,000,000	$117.72M	PG-13	7.3	507435	50
9	10	Man of Steel	Action, Adventure, Fantasy	143	14 June 2013	$225,000,000	$291.05M	PG-13	7.1	592357	55
10	11	The Hobbit: The Desolation of Smaug	Adventure, Fantasy	161	13 December 2013	$225,000,000	$258.37M	PG-13	7.9	525931	66
11	12	The Great Gatsby	Drama, Romance	143	10 May 2013	$105,000,000	$144.84M	PG-13	7.3	396051	55
12	13	Carrie	Drama, Horror	100	18 October 2013	$30,000,000	$35.27M	R	5.9	116297	53
13	14	Texas Chainsaw 3D	Horror, Thriller	92	4 January 2013	$20,000,000	$34.34M	R	4.8	38290	0
14	15	12 Years a Slave	Biography, Drama, History	134	8 November 2013	$20,000,000	$56.67M	R	8.1	506524	96
15	16	Dallas Buyers Club	Biography, Drama	117	22 November 2013	$5,000,000	$27.30M	R	8.0	363949	84
16	17	Star Trek: Into Darkness	Action, Adventure, Sci-Fi	132	16 May 2013	$190,000,000	$228.78M	PG-13	7.8	424920	72
17	18	American Hustle	Crime, Drama	138	20 December 2013	$40,000,000	$150.12M	R	7.3	387613	90
18	19	World War Z	Action, Adventure, Horror	116	21 June 2013	$190,000,000	$202.36M	PG-13	7.0	509210	63
19	20	Oblivion	Action, Adventure, Mystery	124	19 April 2013	$120,000,000	$89.02M	PG-13	7.0	420113	54
20	21	Furious 6	Action, Crime, Thriller	130	24 May 2013	$160,000,000	$238.68M	PG-13	7.1	325778	61
21	22	Elysium	Action, Drama, Sci-Fi	109	9 August 2013	$115,000,000	$93.05M	R	6.6	367964	61
22	23	We're the Millers	Comedy, Crime	110	7 August 2013	$37,000,000	$150.39M	R	7.0	343618	44
23	24	Iron Man Three	Action, Adventure, Sci-Fi	130	3 May 2013	$200,000,000	$409.01M	PG-13	7.2	607245	62
24	25	The Hunger Games: Catching Fire	Action, Adventure, Mystery	146	22 November 2013	$130,000,000	$424.67M	PG-13	7.6	537617	76
25	26	The Purge	Horror, Sci-Fi, Thriller	85	7 June 2013	$3,000,000	$64.47M	R	5.7	159965	41
26	27	Lone Survivor	Action, Biography, Drama	121	10 January 2014	$40,000,000	$125.10M	R	7.5	225723	60
27	28	Snowpiercer	Action, Adventure, Drama	126	11 July 2014	$39,200,000	$4.56M	R	7.0	208461	84
28	29	Grown Ups 2	Comedy	101	12 July 2013	$80,000,000	$133.67M	PG-13	5.4	117799	19
29	30	Escape Plan	Action, Crime, Mystery	115	18 October 2013	$50,000,000	$25.13M	R	6.7	193036	49
30	31	Rush	Action, Biography, Drama	123	27 September 2013	$38,000,000	$26.95M	R	8.1	351394	75
31	32	Gravity	Drama, Sci-Fi, Thriller	91	4 October 2013	$100,000,000	$274.09M	PG-13	7.8	640790	96
32	33	This Is the End	Comedy, Fantasy	107	12 June 2013	$32,000,000	$101.47M	R	6.6	335853	67
33	34	Evil Dead	Fantasy, Horror	91	5 April 2013	$17,000,000	$54.24M	R	6.5	136448	57
34	36	Under the Skin	Drama, Sci-Fi, Thriller	108	14 March 2014	$13,300,000	$2.61M	R	6.3	99026	78
35	37	Only God Forgives	Crime, Drama	90	22 May 2013	$4,800,000	$0.78M	R	5.7	92322	37
36	38	Kick-Ass 2	Action, Comedy, Crime	103	16 August 2013	$28,000,000	$28.80M	R	6.6	220613	41
37	39	The Secret Life of Walter Mitty	Adventure, Comedy, Drama	114	25 December 2013	$90,000,000	$58.24M	PG	7.3	255853	54
38	40	Beautiful Creatures	Drama, Fantasy, Romance	124	14 February 2013	$60,000,000	$19.45M	PG-13	6.2	73784	52
39	41	Gangster Squad	Action, Crime, Drama	113	11 January 2013	$60,000,000	$46.00M	R	6.7	184756	40
40	42	The Green Inferno	Adventure, Crime, Horror	100	25 September 2015	$6,000,000	$7.19M	R	5.3	28576	38
41	43	Olympus Has Fallen	Action, Thriller	119	22 March 2013	$70,000,000	$98.93M	R	6.5	219516	41
42	44	The Wolverine	Action, Adventure, Sci-Fi	126	26 July 2013	$120,000,000	$132.56M	PG-13	6.7	366122	60
43	45	Despicable Me 2	Animation, Adventure, Comedy	98	3 July 2013	$76,000,000	$368.06M	PG	7.4	315074	62
44	46	Movie 43	Comedy, Romance	94	25 January 2013	$6,000,000	$8.83M	R	4.3	85855	18
45	47	The World's End	Action, Comedy, Sci-Fi	109	23 August 2013	$20,000,000	$26.00M	R	7.0	208514	81
46	48	Monsters University	Animation, Adventure, Comedy	104	21 June 2013	$200,000,000	$268.49M	G	7.3	260217	65
47	49	Safe Haven	Drama, Romance, Thriller	115	14 February 2013	$28,000,000	$71.35M	PG-13	6.7	87613	34
48	50	Old Boy	Action, Drama, Mystery	104	27 November 2013	$30,000,000	$2.16M	R	5.8	56373	49
49	51	Don Jon	Comedy, Drama, Romance	90	27 September 2013	$3,000,000	$24.48M	R	6.6	203966	66
50	52	Warm Bodies	Comedy, Horror, Romance	98	1 February 2013	$35,000,000	$66.38M	PG-13	6.9	197135	59
51	53	Ender's Game	Action, Fantasy, Sci-Fi	114	1 November 2013	$110,000,000	$61.74M	PG-13	6.7	198121	51
52	54	The Mortal Instruments: City of Bones	Action, Fantasy, Horror	130	21 August 2013	$60,000,000	$31.17M	PG-13	5.9	114720	33
53	55	The Host	Action, Adventure, Romance	125	29 March 2013	$40,000,000	$26.63M	PG-13	5.9	98958	35
54	56	Captain Phillips	Biography, Drama, Thriller	134	11 October 2013	$55,000,000	$107.10M	PG-13	7.8	355655	83
55	57	Last Vegas	Comedy	105	1 November 2013	$28,000,000	$63.91M	PG-13	6.6	114423	48
56	58	Oculus	Horror, Mystery	104	11 April 2014	$5,000,000	$27.70M	R	6.5	96196	61
57	59	After Earth	Action, Adventure, Sci-Fi	100	31 May 2013	$130,000,000	$60.52M	PG-13	4.9	169891	33
58	60	Hansel & Gretel: Witch Hunters	Action, Fantasy, Horror	88	25 January 2013	$50,000,000	$55.70M	R	6.1	171370	21
59	61	The Spectacular Now	Comedy, Drama, Romance	95	13 September 2013	$2,500,000	$6.85M	R	7.1	120130	82
60	62	Coherence	Mystery, Sci-Fi, Thriller	89	6 August 2014	$50,000	$0.07M	Not Rated	7.2	72463	65
61	63	The Counselor	Crime, Drama, Thriller	117	25 October 2013	$25,000,000	$16.97M	R	5.3	86728	48
62	64	The Lone Ranger	Action, Adventure, Western	150	3 July 2013	$215,000,000	$89.30M	PG-13	6.5	195430	37
63	65	Filth	Comedy, Crime, Drama	97	24 April 2014	$5,000,000	$0.03M	R	7.1	84678	56
64	66	Pain & Gain	Action, Comedy, Crime	129	26 April 2013	$26,000,000	$49.88M	R	6.5	173000	45
65	67	G.I. Joe: Retaliation	Action, Adventure, Sci-Fi	110	28 March 2013	$130,000,000	$122.52M	PG-13	5.8	155049	41
66	68	Blue Jasmine	Drama	98	23 August 2013	$18,000,000	$33.41M	PG-13	7.3	164853	78
67	69	White House Down	Action, Drama, Thriller	131	28 June 2013	$150,000,000	$73.10M	PG-13	6.4	177413	52
68	70	Percy Jackson: Sea of Monsters	Adventure, Family, Fantasy	106	7 August 2013	$90,000,000	$68.56M	PG	5.9	94189	39
69	71	Begin Again	Comedy, Drama, Music	104	11 July 2014	$8,000,000	$16.17M	R	7.4	116508	62
